,States to Learn
0,Alaska
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kentucky
12,Louisiana
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,New Hampshire
21,New Mexico
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
